User ID,First Name,Task ID,sub,Media URL,Type,Transcript,Response,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6
68,Daniel,10,a,https://drive.google.com/open?id=1-DacCNbLVZmdgBmEQkgFpFgjMAIXI4tu&authuser=nick@gauge.io,video,"Soon, as we get into work phone ever go to Samsung checking out, it was new new.Lets go through here and prove as I like the curve screen so the shatter proof waterproof also looking see if it has a better camera not.New features are on camera looking through performance thing to get faster better than comes out from last all day.Select fast, Chargers are behaving now, leaving your phone on all night to charge you can just do it.No now are near good. Lets talk about the largest display. These are all good things I did my research.Not real happy with friends last note, a hand atop the pin came off constantly trying to replace it.Sing like full now just wasnt made very well looks different clients. But Im not that type for my wife is.Subnetwork here look at this, I would go into Best Buy Store.",Shopping,,,,,,
68,Daniel,11,a,https://drive.google.com/open?id=1-G-rX5WE_Y5MkB7j1_ic7HvriKLcPV57&authuser=nick@gauge.io,video,"Hey there so I have an extended warranty on the Samsung TV, the Smart TV, and on my laptop. And reason why is because
 those are things that you pay quite a bit of money for. So its nice to have that extra help or extended warranty in case something happens.You just never know. And I havent really used it for anything cause theyre both fairly new. So I havent had any questions or had to use any of the warranty.And I usually just keep it--it was like from Best Buy-- they usually email it to you with your receipt. And I just store it in a folder
 In my email.",Extended,Yes it is the first time I spent quite a bit of money on them so I wanted to protect them,,,,,
68,Daniel,8,a,https://drive.google.com/open?id=1-F25HopTg5BcCCR1ks9S99EnVyG1kpQm&authuser=nick@gauge.io,photo,,I left my laptop cord in the hotel room and I use it for everything so now I have to wait for a replacement. It sucks I really depend on it,,,,,,
68,Daniel,8,b,https://drive.google.com/open?id=1-H8tD6mohtBYf0c3Eovm-moCW2MY6s2E&authuser=nick@gauge.io,photo,,This is an app on my phone it keeps us ahead of what the river is doing and updates frequently,,,,,,
68,Daniel,7,a,https://drive.google.com/open?id=1-N1QEPuASNH9bY7awK8Rb5P7iSHDC92l&authuser=nick@gauge.io,video,"So office just his stuff. I really need to save or junk against I dont really save any boxes from technology.And all Nope are shares. Most I mean, Im pretty familiar with the items and Ive already set him up.I dont think that theres anything that I need that I cant get online by going to the website.",Boxes,I got a new galaxy phone and through away the box so I needed to find out how to take screenshots and use the fast charger so I went to the samsung website to get information,,,,,
68,Daniel,12,a,https://drive.google.com/open?id=1bbjfgt7JrmLjGs-IIYkBIKJFnOq0zXwq&authuser=nick@gauge.io,video,,,,,,,,
100,Steven,10,a,https://drive.google.com/open?id=1-UuSLV8ec9dmX3C_VXltsVEfnKdRcm8b&authuser=nick@gauge.io,video,"OK, so Im going to continue now. Im going to continue. I saw that the iPhone. X is not available thats Why?Its not letting me push on that.So Im going to go and.Go to the iPhone 8.Which is a step below that?And those arent stop ship should be able to see the specs and everything much easier here is going to show you the difference.Between the iPhone 8 in the iPhone 8 plus and you can determine whether you really need those added.Features of their worth the additional the additional cost and this one, the display is larger, which I knew.In here thats you a couple of things. One is if you have a smartphone to trade in which never seems there seems they always give a lot less.Then you think its worth but you get turn in your actual smart phone. You have now and they would take a little bit after.Of the price that you want the iPhone 8.Going to buy it without a carrier silver.Lets say were going to need it for a lot of videos of ******* and now so the price is going to be 849. You can finance it if you pay, it off in 18 months.Theres no interest now as far as adding I would definitely like I said yesterday. I believe Ive used the Apple care twice.When I simply just dropped it so and then it cracked a little bit and it just keeps getting worse and worse.And the other time my home screen.Got stuck and I couldnt compress it anymore. So to the phone that were going to buy going to choose the basic Apple care, which is.Up to 2 years of tech support and coverage or hardware and accidental damage.Then I said tell you how do you wanna pay for the apple care coz you could include that in the financing or you just pay it off in full. Im going to add it to the financing.Im going to add that.And that is, it and then you go to the.To check out and you could purchase at that, like I said, Id probably go to the Apple store first to look at.Different ones before I did any research online. I would do that whether its an Apple product or TV.I like to go see it myself.And thats it. Thank you.",,,,,,,
100,Steven,10,b,https://drive.google.com/open?id=10BFyrpAdKabOG_du1M31j1jpB_2F4HKF&authuser=nick@gauge.io,video,"OK so I am looking for a new iPhone so Im going to show you the typical process that I would I would go through.First, I would.Make a surgeon on the upper left and look for iPhone there is.As a kid this, I want to get upgraded iPhone, I already have the iPhone 8 so Im looking for the iPhone.X.And ER is good enough.So were going to press on that.And as far as priorities as this is loading definitely. I use the phone as a camera a lot.Landscapes of different parks near here, so I want to make sure that the camera is upgraded from my present phone.And also the features in the specs in terms of how much it weighs how big it is make sure that it, fits in my pocket thats usually it big.The big thing to look for so now that Ive looked up iPhone 10.Im looking at some of the features liquid right now to put display.And its telling me I guess all the positives such as that the front glass is as.Durable as ever as ever, with less.More water resistance, I should say and it has an advanced face ID probably when I look here online.I will only look after Ive seen.The actual product, I can feel in at the store.But this gives you an idea.So Im gonna go up, I dont know if I mess this up.And Im going to look for the cost.So Model Garden Cary OK.So this is the one I want XR.Select my carrier.Do this.Use choose a finish.Just how it looks.Something to say why he?Use capacity.I would say that sank currently unavailable, but at least 60256 one.The 256 gigabyte, wine and then I would look at the price.Compare it to my current price.And then I want to go to the warranties so lets him to do that.Just wanna make sure that before when I was sitting that I could do this so um.Payment Liam early part of the program.Different.Somebody go back once.To see the different Apple care products that there are Im going to stop and then Ill start it.",,,,,,,
100,Steven,11,a,https://drive.google.com/open?id=1-qWTT99Qvht7Uxg5nzLdY4Bb9SQrgzJR&authuser=nick@gauge.io,video,"As far as extended warranties. I would say the only products that I purchased the extended warranty is Apple Care.
 For the iPhone and the iPad that I have and I can say that in probably in the last
 18 months Ive used the Apple care to replace the product twice that I know of for accidental damage.
 And that is covered. I dont purchase extended warranties on anything else. Sometimes I find that the price of the extended warrantyfor example, on a TV that I bought last year cost about a third the extended warranty cost a third of what the
 Actual TV does and the price of TVs has come down so much that I just dont think itsfinancially, a good decision to make. As far as where I keep the warranties. Im in the file cabinet.
 Which is over here.
 Where is it? Do it this way. Anyway it is in a file cabinet that Im looking at right now? Which is a simple file cabinet. I have under warranties.
 And on there, I make a list if I go on the folder. I write when it starts when it ends.
 Usually I know with AppleCare. I believe its a 2 year warranty. So I know that the warranties are up in December. OK thats the only productthat I purchased extended warranties.",Only purchase warranties for Apple products,,,,,,
100,Steven,8,a,https://drive.google.com/open?id=1-OUg6czI90NQs3lA_m_VABD9-UwJNHL8&authuser=nick@gauge.io,photo,,Some of my job is remotely done on my computer. I use Skype for this part of my job. This week I had an instance where my workmate couldn’t hear what I was saying. I had to quickly run to Geek Squad where they diagnosed my issue. Apparently the new iOS update has had a few glitches.,, Theoretically they charge 85. if they have to take your item to “the back.”,, I really don’t but I should. I’ve taken items twice and they quickly diagnose the problem within 5 minutes. I actually feel bad because they don’t charge me. Because of this I’d take my next item to be fixed and pay them for their services.,,
